SYS.STBR-NAME,INV#,OPEN-DATE,JANE DOE,PART #,ACCT-MK,DESC,QSHP,QORD,Central Supply,Great Supply Inc,SRC
Delta Dealer,463578,06/13/25,06/16/25,HP74115-TLA-A02,HO,"PROTECTOR, R. FR.",1,1,29.91,,2
Delta Dealer,463580-1,06/13/25,06/16/25,HP71240-3W0-A00,HO,"BEAM, R. FR. (UPPER)",1,1,66.11,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP71290-3W0-A00,HO,"BEAM, L. FR. (UPPER)",1,1,66.11,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP33150-3W0-A02,HO,"HEADLIGHT ASSY., L.",1,1,372.05,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP71321-3W0-A00,HO,"PLATE, FR. (UPPER)",1,1,30.74,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP71325-3W0-A00,HO,"PLATE, FR.",1,1,87.56,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP71415-3W0-A00,HO,"FRAME, R. FR.",1,1,10.81,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP71417-T20-A00,HO,"STAY, R. FR.",1,1,18.09,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP71416-3W0-A00,HO,"STAY, R. FR. (LOWER)",1,1,13.45,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP71418-3W0-A00,HO,"PATCH, FR. BULKHEAD",1,1,14.46,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP81460-TR3-A01,HO,ADJUSTER,1,1,40.58,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP04816-3W0-A60ZA,HO,BUCKLE SET *NH900L*,1,1,44.93,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP77930-3V0-B11,HO,"SENSOR, FR. CRASH",1,1,25.12,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP77930-3V0-B21,HO,"SENSOR, FR. CRASH",1,1,25.12,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP77960-3V0-A82,HO,DOROTHY HILL,1,1,322.65,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP81825-3W0-A01ZA,HO,PRETENSIONER*NH900L*,1,1,63.02,,6
Delta Dealer,463580-1,06/13/25,06/16/25,HP90672-SNA-A01,HO,"HOLDER, ROD",1,1,0.88,,4
Delta Dealer,463593,06/13/25,06/16/25,HP08P17-TLA-111,HO,LINDA THOMPSON,1,1,117.00,,7
Delta Dealer,463593,06/13/25,06/16/25,HP44306-TLA-A01,HO,"DRIVESHAFT ASSY., L.",1,1,263.81,,6
Delta Dealer,463593,06/13/25,06/16/25,HP91205-P0X-005,HO,OIL SEAL (40X56X9),1,1,15.80,,3
Delta Dealer,463593,06/13/25,06/16/25,HP33900-TLA-A21,HO,"FOGLIGHT, R. FR.",1,1,61.44,,5
Delta Dealer,463593,06/13/25,06/16/25,HP90305-S3V-A11,HO,"NUT, SPINDLE",1,1,5.25,,1
Delta Dealer,463598,06/13/25,06/16/25,HP34155-TLA-A11,HO,"LIGHT ASSY., L. LID",1,1,92.67,,6
Delta Dealer,463598,06/13/25,06/16/25,HP04717-TLA-A00ZZ,HO,"FACE, L. RR. BUMPER",1,1,171.68,,5
Delta Dealer,463598,06/13/25,06/16/25,HP71501-TLA-A70,HO,"FACE, RR. BUMPER",1,1,196.49,,6
Delta Dealer,463598,06/13/25,06/16/25,HP74954-TLA-A51,HO,"SENSOR ASSY., L.",1,1,135.14,,6
Delta Dealer,463598,06/13/25,06/16/25,HP75722-TLA-A00,HO,"EMBLEM, RR.",1,1,28.40,,3
Delta Dealer,463598,06/13/25,06/16/25,HP75719-TLA-A00,HO,"EMBLEM, RR.",1,1,22.88,,4
Delta Dealer,463598,06/13/25,06/16/25,HP71519-TLA-A11,HO,"MOLDING, L. RR.",1,1,20.28,,5
Delta Dealer,463630,06/16/25,06/16/25,HPHEET,HO,CHARLES HALL,1,1,3.81,,19
Delta Dealer,463631,06/16/25,06/16/25,HPWLKEY,HO,RICHARD ROBINSON,1,1,11.95,,39
Delta Dealer,463632,06/16/25,06/16/25,HP12341-RCA-A01,HO,Liberty Supply,2,2,24.18,,3
Delta Dealer,463632,06/16/25,06/16/25,HP43022-SV4-G24,HO,"PAD SET, RR.",1,1,39.04,,12
Delta Dealer,463635,06/16/25,06/16/25,HP91345-RDA-A01,HO,O-RING (13.0X1.9),1,1,0.69,,4
Delta Dealer,463635,06/16/25,06/16/25,HP91370-SV4-000,HO,O-RING (14.4X1.9),1,1,1.98,,4
Delta Dealer,463636,06/16/25,06/16/25,HP08P17-3A0-110A,HO,CHARLES HALL,1,1,122.40,,7
Delta Dealer,463637,06/16/25,06/16/25,HP08P17-3A0-110A,HO,CHARLES HALL,1,1,122.40,,7
Delta Dealer,463638,06/16/25,06/16/25,HP08P17-3A0-110A,HO,CHARLES HALL,1,1,122.40,,7
Delta Dealer,463640,06/16/25,06/16/25,HP72148-S0A-000,HO,BATTERY (CR1616),1,1,3.60,,12
Delta Dealer,463642,06/16/25,06/16/25,HP74142-T20-A11,HO,"RUBBER, HOOD SEAL",1,1,19.99,,4
Delta Dealer,463642,06/16/25,06/16/25,HP73155-T20-A01,HO,Noble Components,1,1,4.01,,6
Delta Dealer,463643,06/16/25,06/16/25,HPWLKEY,HO,RICHARD ROBINSON,1,1,11.95,,39
Delta Dealer,463644,06/16/25,06/16/25,HP71140-TA0-A00,HO,"BEAM, R. FR. BUMPER",1,1,12.83,,5
Delta Dealer,463644,06/16/25,06/16/25,HP74176-TA0-A00,HO,"BRACKET, L. (UPPER)",1,1,8.02,,6
Delta Dealer,463644,06/16/25,06/16/25,HP74171-TA0-A00,HO,"BRACKET, R. (UPPER)",1,1,7.99,,6
Delta Dealer,463644,06/16/25,06/16/25,HP74206-TA0-A00,HO,"GARN, R. FR. FENDER",1,1,21.31,,6
Delta Dealer,463644,06/16/25,06/16/25,HP71123-TA0-A01,HO,Hope Parts Ltd,1,1,16.70,,6
Delta Dealer,463645,06/16/25,06/16/25,HP08U45-3A0-100,HO,"TRAY, CARGO",0,1,0.00,,7
Delta Dealer,463645,06/16/25,06/16/25,HP08P17-3A0-110A,HO,CHARLES HALL,0,1,0.00,,7
Delta Dealer,463646,06/16/25,06/16/25,HP75312-T0A-A01,HO,"GARNISH, R. FR. DOOR",1,1,85.30,,5
Delta Dealer,463646,06/16/25,06/16/25,HP75313-T0A-A01,HO,"GARNISH, R. RR. DOOR",1,1,84.06,,5
Delta Dealer,463646,06/16/25,06/16/25,HP75390-T0A-A01,HO,"GARNISH, R. RR.",1,1,13.53,,5
Delta Dealer,463647,06/16/25,06/16/25,HP08P17-3A0-110A,HO,CHARLES HALL,1,1,122.40,,7
Delta Dealer,463647,06/16/25,06/16/25,HP08U45-3A0-100,HO,"TRAY, CARGO",1,1,79.60,,7
Delta Dealer,463648,06/16/25,06/16/25,HP15400-PCX-306,HO,"FILTER, OIL",1,1,9.28,,12
Delta Dealer,463648,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,463649,06/16/25,06/16/25,HP25510-RN0-003,HO,Delta Parts Ltd,1,1,190.76,,6
Delta Dealer,463650,06/16/25,06/16/25,HP71193-TG7-A51,HO,"SPACER, R. FR.",1,1,3.91,,4
Delta Dealer,463652,06/16/25,06/16/25,HP91207-P7Z-003,HO,OIL SEAL (44X68X8),1,1,9.82,,6
Delta Dealer,463653,06/16/25,06/16/25,HP71190-T2A-A01,HO,"BEAM, L. FR. BUMPER",2,2,36.96,,4
Delta Dealer,463654,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",2,2,11.24,,12
Delta Dealer,463654,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",2,2,0.76,,12
Delta Dealer,463656,06/16/25,06/16/25,HP72148-SLJ-000,HO,BATTERY (CR2032),1,1,3.60,,12
Delta Dealer,463657,06/16/25,06/16/25,HP74218-T22-A10,HO,Ideal Components,0,1,0.00,,6
Delta Dealer,463658,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,CM463463,06/16/25,06/16/25,HP80292-TBA-A11,HO,"ELEMENT, FILTER",-1,-1,-17.55,,12
Delta Dealer,CM463612,06/16/25,06/16/25,HP06311-RV0-516RM,HO,ALTERNATOR,-1,-1,-75.00,,4
Delta Dealer,FAKE_16961,05/31/25,06/16/25,HP79160-TEX-Y61,  ,"MOTOR ASSY., AIR MIX",1,1,35.09,,6
Delta Dealer,FAKE_17107,06/09/25,06/16/25,HP42751-MIC-5052,  ,TIRE 245/60R18,1,1,201.95,,11
Delta Dealer,FAKE_18777,06/09/25,06/16/25,HP71510-TG7-A50,HO,"GARNISH, RR.",1,1,292.23,,6
Delta Dealer,FAKE_18777,06/09/25,06/16/25,HP71115-TG7-A70,HO,"GARNISH, FR. BUMPER",1,1,245.91,,8
Delta Dealer,FAKE_18778,06/09/25,06/16/25,HP31110-R5A-A01,HO,"BELT, ALTERNATOR",1,1,31.54,,12
Delta Dealer,FAKE_18778,06/09/25,06/16/25,HP12341-R40-A00,HO,Liberty Supply,1,1,16.81,,2
Delta Dealer,FAKE_18778,06/09/25,06/16/25,HP12342-RYE-004,HO,"SEAL,SPARK PLUG T",4,4,15.48,,1
Delta Dealer,FAKE_18778,06/09/25,06/16/25,HP26000-R5L-305,HO,Quality Components,1,1,828.37,,6
Delta Dealer,FAKE_18778,06/09/25,06/16/25,HP15830-R5A-A01,HO,VALVE ASSY.,1,1,80.58,,8
Delta Dealer,FAKE_18778,06/09/25,06/16/25,HP08200-9008,HO,FLUID (ATF DW-1),6,6,36.42,,9
Delta Dealer,FAKE_17152,06/13/25,06/16/25,HPFS020-BAS-N0L,HO,"OIL, FULLSYN (0W20)",6,6,17.88,,18
Delta Dealer,FAKE_17152,06/13/25,06/16/25,HP100332,HO,DAVID WILSON,1,1,7.82,,22
Delta Dealer,FAKE_17152,06/13/25,06/16/25,HPNPB-18,HO,JANE DOE,1,1,10.99,,22
Delta Dealer,FAKE_17152,06/13/25,06/16/25,HPNPB-26,HO,JANE DOE,1,1,14.99,,22
Delta Dealer,FAKE_17152,06/13/25,06/16/25,HP6-010-A,HO,ROBERT THOMAS,1,1,8.95,,6
Delta Dealer,FAKE_17152,06/13/25,06/16/25,HP87139-YZZ93,HO,ANTHONY LOPEZ,1,1,26.39,,6
Delta Dealer,FAKE_17152,06/13/25,06/16/25,HP9430,HO,ELIZABETH CLARK,1,1,23.45,,6
Delta Dealer,FAKE_18779,06/11/25,06/16/25,HPTINT2,HO,TINT,1,1,15.00,,19
Delta Dealer,FAKE_18779,06/11/25,06/16/25,HPPPF,HO,MARK GREEN,1,1,30.00,,19
Delta Dealer,FAKE_18780,06/11/25,06/16/25,HPTINT2,HO,TINT,1,1,15.00,,19
Delta Dealer,FAKE_18780,06/11/25,06/16/25,HPPPF,HO,MARK GREEN,1,1,30.00,,19
Delta Dealer,FAKE_18781,06/11/25,06/16/25,HPTINT2,HO,TINT,1,1,15.00,,19
Delta Dealer,FAKE_18781,06/11/25,06/16/25,HPPPF,HO,MARK GREEN,1,1,30.00,,19
Delta Dealer,FAKE_18782,06/11/25,06/16/25,HPTINT2,HO,TINT,1,1,15.00,,19
Delta Dealer,FAKE_18782,06/11/25,06/16/25,HPPPF,HO,MARK GREEN,1,1,30.00,,19
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP08798-9008,HO,"FLUID, BRAKE (DOT 3)",1,1,4.23,,9
Delta Dealer,FAKE_18783,06/13/25,06/16/25,PKSAE020,HO,,1,1,0.00,,0
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HPFS020-BAS-N0L,HO,"OIL, FULLSYN (0W20)",5,5,14.90,,18
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP42751-FIR-015,HO,TIRE (P215/50R17),1,1,168.95,,11
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP42753-SB8-661,HO,"VALVE, RIM",1,1,1.03,,1
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP90304-SA5-013,HO,"NUT, WHEEL",4,4,33.56,,1
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP80291-TF3-E01,HO,"ELEMENT, FILTER",1,1,17.55,,12
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP17220-64A-A00,HO,"ELEMENT, AIR CLEANER",1,1,18.90,,12
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP76630-T20-A01,HO,"BLADE, WSW (475MM)",1,1,12.97,,12
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP76620-T20-A01,HO,"BLADE, WSW (600MM)",1,1,14.20,,12
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP72147-T20-A11,HO,"FOB ASSY., ENTRY KEY",1,1,72.65,,12
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP35118-T20-305,HO,"KEY, EMERGENCY",1,1,22.56,,12
Delta Dealer,FAKE_18783,06/13/25,06/16/25,HP72148-SLJ-000,HO,BATTERY (CR2032),1,1,3.60,,12
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP90471-PX4-000,HO,"WASHER, DRAIN (18MM)",1,1,3.71,,12
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP11107-PWA-300,HO,WASHER (24MM),1,1,1.89,,6
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP08200-9017,HO,ATF-TYPE 3.1,4,4,73.28,,9
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP08798-9008,HO,"FLUID, BRAKE (DOT 3)",1,1,4.23,,9
Delta Dealer,FAKE_18784,06/13/25,06/16/25,PKSAE020,HO,,1,1,0.00,,0
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HPFS020-BAS-N0L,HO,"OIL, FULLSYN (0W20)",6,6,17.88,,18
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP80292-SDA-407,HO,ELEMENT,1,1,17.11,,12
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP17220-5J6-A10,HO,"ELEMENT, AIR CLEANER",1,1,19.12,,12
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP76622-TG7-A01,HO,"RUB, BLADE (600MM)",1,1,4.49,,12
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP76622-SMA-004,HO,"RUB, BLADE (650MM)",1,1,4.49,,12
Delta Dealer,FAKE_18784,06/13/25,06/16/25,HP76622-TZ5-A01,HO,"RUB, BLADE (350MM)",1,1,4.14,,12
Delta Dealer,FAKE_18785,06/12/25,06/16/25,,HO,,,,0.00,,
Delta Dealer,FAKE_18786,06/13/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_18786,06/13/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_18786,06/13/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,4,4,10.08,,18
Delta Dealer,FAKE_18787,06/13/25,06/16/25,HP72147-TVA-A32,HO,FOB ASSY. (DRIVER 2),1,1,89.99,,12
Delta Dealer,FAKE_18787,06/13/25,06/16/25,HP35118-T2A-A50,HO,"KEY, EMERGENCY",1,1,23.02,,12
Delta Dealer,FAKE_17206,06/13/25,06/16/25,HP48880567,  ,"Brake Rotor, Rear",1,1,49.00,,6
Delta Dealer,FAKE_17206,06/13/25,06/16/25,HP2166XB,  ,"Caliper, Rear Left",1,1,66.98,,6
Delta Dealer,FAKE_17206,06/13/25,06/16/25,HP43022-SZA-A11,  ,"PAD SET, RR.",1,1,51.59,,12
Delta Dealer,FAKE_18788,06/13/25,06/16/25,HP59-0023,HO,CAP,1,1,5.00,,19
Delta Dealer,FAKE_18788,06/13/25,06/16/25,HP08U45-3A0-100,HO,"TRAY, CARGO",1,1,79.60,,7
Delta Dealer,FAKE_18788,06/13/25,06/16/25,HP08W42-SCV-103,HO,LOCK SET (CHROME),1,1,36.80,,7
Delta Dealer,FAKE_18788,06/13/25,06/16/25,HP08P00-3A0-100,HO,RUTH CARTER,1,1,79.60,,7
Delta Dealer,FAKE_18788,06/13/25,06/16/25,HP08P04-3A0-100,HO,JENNIFER JACKSON,1,1,61.20,,7
Delta Dealer,FAKE_18789,06/13/25,06/16/25,HP59-0023,HO,CAP,1,1,5.00,,19
Delta Dealer,FAKE_18789,06/13/25,06/16/25,HP08P00-3A0-100,HO,RUTH CARTER,1,1,79.60,,7
Delta Dealer,FAKE_18789,06/13/25,06/16/25,HP08W42-S2A-101,HO,"LOCK SET, WHEEL",1,1,58.00,,7
Delta Dealer,FAKE_18789,06/13/25,06/16/25,HP08U45-3A0-100,HO,"TRAY, CARGO",1,1,79.60,,7
Delta Dealer,FAKE_18789,06/13/25,06/16/25,HP08P04-3A0-100,HO,JENNIFER JACKSON,1,1,61.20,,7
Delta Dealer,FAKE_18790,06/13/25,06/16/25,,  ,,,,0.00,,
Delta Dealer,FAKE_68,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_68,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_68,06/16/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,5,5,12.60,,18
Delta Dealer,FAKE_60,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_60,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_60,06/16/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,4,4,10.08,,18
Delta Dealer,FAKE_58,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_58,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_58,06/16/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,4,4,10.08,,18
Delta Dealer,FAKE_42,06/16/25,06/16/25,HP891972,HO,JOSHUA ROBERTS,1,1,27.99,,24
Delta Dealer,FAKE_42,06/16/25,06/16/25,HP608334,HO,CHARLES HALL,1,1,20.14,,24
Delta Dealer,FAKE_39,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_39,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_39,06/16/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,6,6,15.12,,18
Delta Dealer,FAKE_39,06/16/25,06/16/25,HP17220-5J6-A10,HO,"ELEMENT, AIR CLEANER",1,1,19.12,,12
Delta Dealer,FAKE_39,06/16/25,06/16/25,HP80291-TF3-E01,HO,"ELEMENT, FILTER",1,1,17.55,,12
Delta Dealer,FAKE_39,06/16/25,06/16/25,HP90471-PX4-000,HO,"WASHER, DRAIN (18MM)",1,1,3.71,,12
Delta Dealer,FAKE_39,06/16/25,06/16/25,HP94109-20000,HO,"WASHER, DRAIN (20MM)",1,1,0.82,,12
Delta Dealer,FAKE_39,06/16/25,06/16/25,HP90471-59C-000,HO,GASKET (10MM),1,1,2.95,,6
Delta Dealer,FAKE_39,06/16/25,06/16/25,HP08200-9015,HO,ATF-TYPE 2.0,5,5,39.50,,9
Delta Dealer,FAKE_54,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_54,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_54,06/16/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,4,4,10.08,,18
Delta Dealer,FAKE_47,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_47,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_47,06/16/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,6,6,15.12,,18
Delta Dealer,FAKE_47,06/16/25,06/16/25,HP17220-5J6-A10,HO,"ELEMENT, AIR CLEANER",1,1,19.12,,12
Delta Dealer,FAKE_47,06/16/25,06/16/25,HP80292-SDA-407,HO,ELEMENT,1,1,17.11,,12
Delta Dealer,FAKE_49,06/16/25,06/16/25,HP80292-SDA-407,HO,ELEMENT,1,1,17.11,,12
Delta Dealer,FAKE_49,06/16/25,06/16/25,PKATFF,HO,,1,1,0.00,,0
Delta Dealer,FAKE_49,06/16/25,06/16/25,FAKE_2,HO,JAMES GARCIA,1,1,18.47,,24
Delta Dealer,FAKE_49,06/16/25,06/16/25,HP08200-9008,HO,FLUID (ATF DW-1),9,9,54.63,,9
Delta Dealer,FAKE_49,06/16/25,06/16/25,HP90471-PX4-000,HO,"WASHER, DRAIN (18MM)",1,1,3.71,,12
Delta Dealer,FAKE_49,06/16/25,06/16/25,HP11107-PWA-300,HO,WASHER (24MM),1,1,1.89,,6
Delta Dealer,FAKE_49,06/16/25,06/16/25,HP11107-PWA-300,HO,WASHER (24MM),1,1,1.89,,6
Delta Dealer,FAKE_49,06/16/25,06/16/25,PKBF,HO,,1,1,0.00,,0
Delta Dealer,FAKE_49,06/16/25,06/16/25,HP608334,HO,CHARLES HALL,1,1,20.14,,24
Delta Dealer,FAKE_49,06/16/25,06/16/25,PKSAE020,HO,,1,1,0.00,,0
Delta Dealer,FAKE_49,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_49,06/16/25,06/16/25,HPFS020-BAS-N0L,HO,"OIL, FULLSYN (0W20)",5,5,14.90,,18
Delta Dealer,FAKE_49,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_73,06/16/25,06/16/25,HP50890-SNA-A82,HO,"ROD, TORQUE (LOWER)",1,1,58.65,,6
Delta Dealer,FAKE_69,06/16/25,06/16/25,PKBF,HO,,1,1,0.00,,0
Delta Dealer,FAKE_69,06/16/25,06/16/25,HP608334,HO,CHARLES HALL,1,1,20.14,,24
Delta Dealer,FAKE_69,06/16/25,06/16/25,HP43022-TVA-A60,HO,"PAD SET, RR.",1,1,51.59,,12
Delta Dealer,FAKE_70,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_70,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_70,06/16/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,4,4,10.08,,18
Delta Dealer,FAKE_72,06/16/25,06/16/25,HP42751-CTL-044,HO,TIRE 265/60R18,1,1,175.35,,11
Delta Dealer,FAKE_72,06/16/25,06/16/25,HP42753-SB8-661,HO,"VALVE, RIM",1,1,1.03,,1
Delta Dealer,FAKE_81,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_81,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_81,06/16/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,5,5,12.60,,18
Delta Dealer,FAKE_81,06/16/25,06/16/25,HP17220-5LA-A00,HO,"ELEMENT, AIR CLEANER",1,1,18.15,,12
Delta Dealer,FAKE_81,06/16/25,06/16/25,HP80292-SDA-407,HO,ELEMENT,1,1,17.11,,12
Delta Dealer,FAKE_77,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_77,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_77,06/16/25,06/16/25,HPSAE020,HO,0W20VAL/MAXLIFE,6,6,15.12,,18
Delta Dealer,FAKE_82,06/16/25,06/16/25,HP08200-9017,HO,ATF-TYPE 3.1,4,4,73.28,,9
Delta Dealer,FAKE_82,06/16/25,06/16/25,HP90471-PX4-000,HO,"WASHER, DRAIN (18MM)",1,1,3.71,,12
Delta Dealer,FAKE_82,06/16/25,06/16/25,PKSAE020,HO,,1,1,0.00,,0
Delta Dealer,FAKE_82,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
Delta Dealer,FAKE_82,06/16/25,06/16/25,HPFS020-BAS-N0L,HO,"OIL, FULLSYN (0W20)",5,5,14.90,,18
Delta Dealer,FAKE_82,06/16/25,06/16/25,HP94109-14000,HO,"WASHER, DRAIN (14MM)",1,1,0.38,,12
Delta Dealer,FAKE_103,06/16/25,06/16/25,HP15400-PLM-A02,HO,"FILTER, OIL",1,1,5.62,,12
