SYS.STBR-NAME,INV#,OPEN-DATE,PART #,UDF.PART-MAKE,VEH-MAKE-DR,CHARLES HALL,JENNIFER JACKSON,Central Supply,Great Supply Inc,SRC
Delta Dealer,463562,06/12/25,HP4800,Modern Cars,,36,36,91.80,,39
Delta Dealer,463562,06/12/25,HP4800,Modern Cars,,36,36,91.80,,39
Delta Dealer,463562,06/12/25,FAKE_12,Modern Cars,,72,72,107.28,,39
Delta Dealer,463562,06/12/25,HP4800,Modern Cars,,12,12,30.60,,39
Delta Dealer,463562,06/12/25,HP72148-SLJ-000,Modern Cars,,1,1,3.60,,12
Delta Dealer,463562,06/12/25,HP4800,Modern Cars,,24,24,61.20,,39
Delta Dealer,463562,06/12/25,FAKE_12,Modern Cars,,24,24,35.76,,39
Delta Dealer,463562,06/12/25,HP90105-TBA-A00,Modern Cars,,2,2,2.44,,1
Delta Dealer,463562,06/12/25,HP08718-0004,Modern Cars,,1,1,8.60,,9
Delta Dealer,463562,06/12/25,HP72544-THR-A11,Modern Cars,,1,1,67.44,,6
Delta Dealer,463566,06/12/25,HP71411-TLA-A81,Modern Cars,,0,1,0.00,,6
Delta Dealer,463584,06/13/25,HP12341-5A2-A01,Modern Cars,,0,20,0.00,,1
Delta Dealer,463602-1,06/13/25,HP73350-THR-A00,Modern Cars,,1,1,200.74,,6
Delta Dealer,463602-1,06/13/25,HP72450-THR-A01,Modern Cars,,1,1,47.17,,5
Delta Dealer,463602-1,06/13/25,HP76250-THR-A21ZF,Modern Cars,,1,1,350.66,,6
Delta Dealer,463620-1,06/14/25,HP17210-RNA-A01,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP71102-TLA-A00,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP71123-TLA-A00,Modern Cars,,1,1,80.48,,4
Delta Dealer,463633,06/16/25,HP71173-TLA-A00,Modern Cars,,1,1,80.48,,4
Delta Dealer,463633,06/16/25,HP71140-TLA-A00,Modern Cars,,1,1,14.47,,4
Delta Dealer,463633,06/16/25,HP60211-TLA-A00ZZ,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP74115-TLA-A02,Modern Cars,,1,1,29.91,,2
Delta Dealer,463633,06/16/25,HP74165-TLA-A02,Modern Cars,,1,1,29.89,,2
Delta Dealer,463633,06/16/25,HP71127-TLA-A00,Modern Cars,,1,1,59.77,,5
Delta Dealer,463633,06/16/25,HP72410-TLA-A01,Modern Cars,,1,1,36.78,,4
Delta Dealer,463633,06/16/25,HP68100-TLA-A50ZZ,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP74800-TLA-A51,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP74901-TLA-A02ZF,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP74895-TLA-A01,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP74890-TLA-A31ZG,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP84442-TLA-A11ZA,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP73211-TLA-A01,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP71501-TLA-A00,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP71593-TLA-A01,Modern Cars,,1,1,10.53,,5
Delta Dealer,463633,06/16/25,HP74116-TLA-A02,Modern Cars,,1,1,16.72,,5
Delta Dealer,463633,06/16/25,HP75316-S9A-004,Modern Cars,,1,1,2.47,,4
Delta Dealer,463633,06/16/25,HP74440-TLA-C01,Modern Cars,,1,1,95.92,,5
Delta Dealer,463633,06/16/25,HP39530-TLA-A51,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP75722-TLA-A00,Modern Cars,,1,1,28.40,,3
Delta Dealer,463633,06/16/25,HP75716-TLA-A00,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP35370-TG7-A01,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP73127-TY0-000,Modern Cars,,3,3,38.91,,3
Delta Dealer,463633,06/16/25,HP91501-S70-003,Modern Cars,,1,1,4.04,,4
Delta Dealer,463633,06/16/25,HP91502-S70-003,Modern Cars,,1,1,14.18,,4
Delta Dealer,463633,06/16/25,HP91536-SS0-J01,Modern Cars,,1,1,4.08,,4
Delta Dealer,463633,06/16/25,HP73214-TLA-A01,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP73224-TLA-A01,Modern Cars,,0,1,0.00,,6
Delta Dealer,463633,06/16/25,HP75315-S9A-004,Modern Cars,,5,10,10.75,,2
Delta Dealer,463634,06/16/25,HP81891-SZA-A01,Modern Cars,,0,1,0.00,,6
Delta Dealer,463634,06/16/25,HP04816-SZA-A41ZA,Modern Cars,,0,1,0.00,,6
Delta Dealer,463634,06/16/25,HP77970-STX-A01,Modern Cars,,0,2,0.00,,6
Delta Dealer,463634,06/16/25,HP77960-SZA-A12,Modern Cars,,0,1,0.00,,6
Delta Dealer,463634,06/16/25,HP04818-SZA-A01ZA,Modern Cars,,1,1,253.42,,6
Delta Dealer,463634,06/16/25,HP81460-SHJ-A01ZB,Modern Cars,,0,1,0.00,,6
Delta Dealer,463639,06/16/25,HP91006-PWA-008,Modern Cars,,0,1,0.00,,6
Delta Dealer,463639,06/16/25,HP08285-P99-0CZA3,Modern Cars,,12,12,65.64,,9
Delta Dealer,463641,06/16/25,HP71530-TYA-A00,Modern Cars,,1,1,244.51,,6
Delta Dealer,463651,06/16/25,HP08P00-T90-100,Modern Cars,,1,1,79.60,,7
Delta Dealer,463655,06/16/25,HP74101-TS8-A20,Modern Cars,,0,1,0.00,,6
Delta Dealer,463657-1,06/16/25,HP74218-T22-A10,Modern Cars,,1,1,83.76,,6
Delta Dealer,463659,06/16/25,HP08U45-3A0-100,Modern Cars,,1,1,79.60,,7
Delta Dealer,AP1403540,07/20/23,,,,,,0.00,,
Delta Dealer,AP1416107,09/26/23,,,,,,0.00,,
Delta Dealer,AP1418056,10/06/23,,,,,,0.00,,
Delta Dealer,AP1422508,11/01/23,,,,,,0.00,,
Delta Dealer,AP1423332,11/06/23,,,,,,0.00,,
Delta Dealer,AP1428210,12/06/23,,,,,,0.00,,
Delta Dealer,AP1435607,01/20/24,,,,,,0.00,,
Delta Dealer,AP1441079,02/21/24,,,,,,0.00,,
Delta Dealer,AP1444807,03/14/24,,,,,,0.00,,
Delta Dealer,AP1445776,03/20/24,,,,,,0.00,,
Delta Dealer,AP1446274,08/07/24,HP15400-PLM-A02,Modern Cars,,1,1,5.62,,12
Delta Dealer,AP1446274,08/07/24,HP94109-14000,Modern Cars,,1,1,0.36,,12
Delta Dealer,AP1446274,08/07/24,HPFS020-BAS-N0L,Modern Cars,,5,5,14.90,,18
Delta Dealer,AP1449913,04/15/24,HP08R04-T90-100,Modern Cars,,0,1,0.00,,7
Delta Dealer,AP1450679,04/19/24,HP35118-TR0-A00,Modern Cars,,2,2,76.50,,3
Delta Dealer,AP1454064,05/09/24,,,,,,0.00,,
Delta Dealer,AP1454920,05/31/24,HP35355-TVA-A51,Modern Cars,,1,1,35.58,,6
Delta Dealer,AP1455628,05/18/24,,,,,,0.00,,
Delta Dealer,AP1461613,07/02/24,HP08798-9008,Modern Cars,,1,1,4.23,,9
Delta Dealer,AP1461613,07/02/24,HPLKQ156939005,Modern Cars,,1,1,350.00,,6
Delta Dealer,AP1462151,06/21/24,HP100164,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1462151,06/21/24,HP08798-9134,Modern Cars,,6,6,23.22,,9
Delta Dealer,AP1462445,06/24/24,HP52320-TLB-A00,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1462980,06/26/24,,,,,,0.00,,
Delta Dealer,AP1463296,06/27/24,HP80315-TLA-A01,Modern Cars,,1,1,44.04,,4
Delta Dealer,AP1463296,06/27/24,HP38918-64A-318,Modern Cars,,1,1,9.45,,1
Delta Dealer,AP1463296,06/27/24,HP80872-SN7-003,Modern Cars,,1,1,2.86,,1
Delta Dealer,AP1463296,06/27/24,HP80871-SN7-003,Modern Cars,,1,1,2.86,,1
Delta Dealer,AP1463296,06/27/24,HP08799-0003,Modern Cars,,2,2,152.90,,9
Delta Dealer,AP1464729,07/06/24,HP1334,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1464729,07/06/24,HP08798-9134,Modern Cars,,5,5,19.35,,9
Delta Dealer,AP1464926,07/08/24,HP72147-T5A-A01,Modern Cars,,2,2,181.38,,6
Delta Dealer,AP1464926,07/08/24,HP35118-T2A-A50,Modern Cars,,2,2,41.54,,1
Delta Dealer,AP1465090,07/11/24,HP15400-PLM-A02,Modern Cars,,1,1,5.62,,12
Delta Dealer,AP1465090,07/11/24,HP94109-14000,Modern Cars,,1,1,0.36,,12
Delta Dealer,AP1465090,07/11/24,HPFS020-BAS-N0L,Modern Cars,,5,5,14.90,,18
Delta Dealer,AP1465104,07/08/24,Smart Motors,Modern Cars,,1,1,0.00,,6
Delta Dealer,AP1465181,07/09/24,HP100255,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1465181,07/09/24,HPSAE020,Modern Cars,,8,8,22.32,,18
Delta Dealer,AP1465338,07/09/24,PK23-046,,,1,1,0.00,,0
Delta Dealer,AP1465338,07/09/24,HP39165-THR-AA0,Modern Cars,,3,3,10.53,,1
Delta Dealer,AP1465338,07/09/24,HP39165-THR-AB0,Modern Cars,,3,3,10.53,,1
Delta Dealer,AP1465338,07/09/24,HP39165-THR-AC0,Modern Cars,,1,1,3.51,,1
Delta Dealer,AP1465338,07/09/24,HP39817-THR-305,Modern Cars,,14,14,18.62,,10
Delta Dealer,AP1465846,07/12/24,HP100255,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1465846,07/12/24,HPSAE020,Modern Cars,,8,8,22.32,,18
Delta Dealer,AP1466104,07/13/24,HP39530-THR-A23,Modern Cars,,1,1,75.56,,1
Delta Dealer,AP1466104,07/13/24,PK23-046,,,1,1,0.00,,0
Delta Dealer,AP1466104,07/13/24,HP39165-THR-AA0,Modern Cars,,3,3,10.53,,1
Delta Dealer,AP1466104,07/13/24,HP39165-THR-AB0,Modern Cars,,3,3,10.53,,1
Delta Dealer,AP1466104,07/13/24,HP39165-THR-AC0,Modern Cars,,1,1,3.51,,1
Delta Dealer,AP1466104,07/13/24,HP39817-THR-305,Modern Cars,,14,14,18.62,,10
Delta Dealer,AP1466311,07/16/24,HP15400-PLM-A02,Modern Cars,,1,1,5.62,,12
Delta Dealer,AP1466311,07/16/24,HP94109-14000,Modern Cars,,1,1,0.36,,12
Delta Dealer,AP1466311,07/16/24,HPFS020-BAS-N0L,Modern Cars,,6,6,17.88,,18
Delta Dealer,AP1466364,07/15/24,HP31100-5A2-A02,Modern Cars,,1,1,333.36,,4
Delta Dealer,AP1467032,07/18/24,HP35118-TK8-A20,Modern Cars,,1,1,63.87,,4
Delta Dealer,AP1469017,08/05/24,HP1358,Modern Cars,,1,1,11.99,,22
Delta Dealer,AP1469017,08/05/24,HPSAE020,Modern Cars,,4,4,11.16,,18
Delta Dealer,AP1469261,07/31/24,,,,,,0.00,,
Delta Dealer,AP1469568,08/05/24,HP15400-PLM-A02,Modern Cars,,1,1,5.62,,12
Delta Dealer,AP1469568,08/05/24,HP94109-14000,Modern Cars,,1,1,0.36,,12
Delta Dealer,AP1469568,08/05/24,HPFS020-BAS-N0L,Modern Cars,,5,5,14.90,,18
Delta Dealer,AP1469590,08/05/24,HP06730-SWA-325,Modern Cars,,1,1,65.00,,6
Delta Dealer,AP1470537,08/16/24,HP15400-PLM-A02,Modern Cars,,1,1,5.62,,12
Delta Dealer,AP1470537,08/16/24,HP94109-14000,Modern Cars,,1,1,0.36,,12
Delta Dealer,AP1470537,08/16/24,HPSAE020,Modern Cars,,4,4,11.16,,18
Delta Dealer,AP1471446,08/14/24,HP81479-TLA-305,Modern Cars,,2,2,0.50,,1
Delta Dealer,AP1471476,08/14/24,PK23-046,,,1,1,0.00,,0
Delta Dealer,AP1471476,08/14/24,HP39165-THR-AA0,Modern Cars,,3,3,10.53,,1
Delta Dealer,AP1471476,08/14/24,HP39165-THR-AB0,Modern Cars,,3,3,10.53,,1
Delta Dealer,AP1471476,08/14/24,HP39165-THR-AC0,Modern Cars,,1,1,3.51,,1
Delta Dealer,AP1471476,08/14/24,HP39817-THR-305,Modern Cars,,14,14,18.62,,1
Delta Dealer,AP1473050,08/23/24,HP08L91-T90-100,Modern Cars,,1,1,156.10,,7
Delta Dealer,AP1473050,08/23/24,HP08L92-T90-100,Modern Cars,,1,1,189.80,,7
Delta Dealer,AP1473050,08/23/24,HP08L92-T90-100C,Modern Cars,,1,1,82.70,,7
Delta Dealer,AP1473144,08/23/24,HP42751-MIC-5044,Modern Cars,,4,4,641.44,,11
Delta Dealer,AP1473609,08/26/24,HP81479-TLA-305,Modern Cars,,1,1,0.25,,1
Delta Dealer,AP1473609,08/26/24,HP81479-TLA-305,Modern Cars,,1,1,0.25,,1
Delta Dealer,AP1474035,08/28/24,HP33165-SAA-003,Modern Cars,,1,1,15.76,,1
Delta Dealer,AP1475221,09/05/24,HP04790-S9V-315,Modern Cars,,1,1,60.40,,6
Delta Dealer,AP1475221,09/05/24,HP04770-S9A-409,Modern Cars,,1,1,63.09,,6
Delta Dealer,AP1475350,09/05/24,HP1334,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1475350,09/05/24,HPWASHER,Modern Cars,,1,1,1.56,,39
Delta Dealer,AP1475350,09/05/24,HPSAE1,Modern Cars,,6,6,16.74,,18
Delta Dealer,AP1476752,09/13/24,,,,,,0.00,,
Delta Dealer,AP1477250,09/17/24,HP1358,Modern Cars,,1,1,11.99,,22
Delta Dealer,AP1477250,09/17/24,HPSAE1,Modern Cars,,5,5,13.95,,18
Delta Dealer,AP1479835,10/01/24,HP35881-TG7-A04,Modern Cars,,1,1,65.74,,4
Delta Dealer,AP1480039,10/04/24,HP74851-TA0-A01,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1480531,10/05/24,HP31200-RX0-A02,Modern Cars,,1,1,426.05,,6
Delta Dealer,AP1480903,10/08/24,HP06170-TVA-306,Modern Cars,,1,1,34.18,,6
Delta Dealer,AP1480924,10/16/24,HP74110-TGG-A00,Modern Cars,,1,1,479.46,,5
Delta Dealer,AP1482137,10/14/24,HP72120-T90-A31ZA,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1482137,10/14/24,HP83505-T90-A01ZB,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1482838,10/17/24,HP7060,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1482838,10/17/24,HPSAE020,Modern Cars,,6,6,16.74,,18
Delta Dealer,AP1483384,10/21/24,PK23-046,,,1,1,0.00,,0
Delta Dealer,AP1483384,10/21/24,HP39165-THR-AA0,Modern Cars,,2,2,7.02,,1
Delta Dealer,AP1483384,10/21/24,HP39165-THR-AB0,Modern Cars,,2,2,7.02,,1
Delta Dealer,AP1483384,10/21/24,HP39165-THR-AC0,Modern Cars,,2,2,7.02,,1
Delta Dealer,AP1483384,10/21/24,HP39817-THR-305,Modern Cars,,12,12,15.96,,10
Delta Dealer,AP1483664,10/23/24,HP45022-T2G-A01,Modern Cars,,1,1,46.59,,12
Delta Dealer,AP1483664,10/23/24,HP45251-T2G-A01,Modern Cars,,1,2,72.00,,5
Delta Dealer,AP1485038,11/04/24,HP35118-TLA-A00,Modern Cars,,1,1,52.50,,12
Delta Dealer,AP1486076,11/06/24,HP100010,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1486076,11/06/24,HPSAE020,Modern Cars,,5,5,13.95,,18
Delta Dealer,AP1486489,11/14/24,HP15400-PLM-A02,Modern Cars,,1,1,5.62,,12
Delta Dealer,AP1486489,11/14/24,HP94109-14000,Modern Cars,,1,1,0.36,,12
Delta Dealer,AP1486489,11/14/24,HPSAE020,Modern Cars,,6,6,16.74,,18
Delta Dealer,AP1486570,11/09/24,HP1348,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1486570,11/09/24,HPSAE1,Modern Cars,,5,5,13.95,,18
Delta Dealer,AP1486856,11/11/24,HP43153-SR4-A03,Modern Cars,,4,4,62.60,,6
Delta Dealer,AP1486915,11/11/24,HP08L91-T90-100,Modern Cars,,0,1,0.00,,7
Delta Dealer,AP1486915,11/11/24,HP08L92-T90-100,Modern Cars,,0,1,0.00,,7
Delta Dealer,AP1486915,11/11/24,HP08L92-T90-100B,Modern Cars,,0,1,0.00,,7
Delta Dealer,AP1487038,11/12/24,HP06170-TVA-306,Modern Cars,,1,1,34.18,,6
Delta Dealer,AP1487058,11/12/24,HP12261-R70-A01,Modern Cars,,1,1,36.73,,4
Delta Dealer,AP1487058,11/12/24,HP18716-R70-A01,Modern Cars,,1,1,8.79,,4
Delta Dealer,AP1487058,11/12/24,HP18719-R70-A01,Modern Cars,,1,1,8.79,,4
Delta Dealer,AP1487058,11/12/24,HP18115-R70-A01,Modern Cars,,1,1,6.28,,4
Delta Dealer,AP1487058,11/12/24,HP18212-SA7-003,Modern Cars,,2,2,14.38,,2
Delta Dealer,AP1487058,11/12/24,HP12050-R70-A00,Modern Cars,,1,1,83.73,,4
Delta Dealer,AP1487058,11/12/24,HP17146-R70-A01,Modern Cars,,1,1,25.47,,1
Delta Dealer,AP1487058,11/12/24,HP17105-RCJ-A01,Modern Cars,,1,1,29.59,,1
Delta Dealer,AP1487058,11/12/24,HP91301-PLC-000,Modern Cars,,2,2,4.22,,3
Delta Dealer,AP1487058,11/12/24,HP91314-PH7-003,Modern Cars,,2,2,4.92,,3
Delta Dealer,AP1487058,11/12/24,HP13011-R70-A12,Modern Cars,,3,3,90.99,,1
Delta Dealer,AP1487058,11/12/24,HP18393-SDB-A00,Modern Cars,,1,1,10.16,,3
Delta Dealer,AP1487058,11/12/24,HP90212-RCA-A01,Modern Cars,,4,4,12.32,,3
Delta Dealer,AP1487058,11/12/24,HP90212-SA5-003,Modern Cars,,9,9,5.04,,1
Delta Dealer,AP1487058,11/12/24,HP12290-R70-A01,Modern Cars,,4,4,76.52,,12
Delta Dealer,AP1487058,11/12/24,HP15221-RYE-A01,Modern Cars,,1,1,2.53,,1
Delta Dealer,AP1487058,11/12/24,HP14551-RCA-A01,Modern Cars,,1,1,6.71,,4
Delta Dealer,AP1487058,11/12/24,HP19411-P8A-A03,Modern Cars,,1,1,4.59,,4
Delta Dealer,AP1487058,11/12/24,HP19412-P8A-A02,Modern Cars,,1,1,2.61,,3
Delta Dealer,AP1487058,11/12/24,HP08700-TPCB,Modern Cars,,1,1,3.27,,9
Delta Dealer,AP1487058,11/12/24,HP08CLA-P99-0F0A8,Modern Cars,,3,3,39.15,,9
Delta Dealer,AP1487058,11/12/24,HP08718-0004,Modern Cars,,1,1,8.60,,9
Delta Dealer,AP1487488,11/14/24,HPSAE020,Modern Cars,,7,7,19.53,,18
Delta Dealer,AP1487488,11/14/24,HP7356,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1487488,11/14/24,HPWASHER,Modern Cars,,1,1,1.56,,39
Delta Dealer,AP1488834,11/21/24,HP38920-T2A-A04,Modern Cars,,1,1,59.38,,4
Delta Dealer,AP1488913,11/22/24,HP74110-TVC-A00,Modern Cars,,1,1,119.57,,5
Delta Dealer,AP1488913,11/22/24,HP91505-TM8-003,Modern Cars,,6,6,1.92,,1
Delta Dealer,AP1488954,11/22/24,HP31500-SR1-100M,Modern Cars,,1,1,93.16,16.00,55
Delta Dealer,AP1488954,11/22/24,HP31500-SR1-100M,Modern Cars,,-1,-1,-16.00,,55
Delta Dealer,AP1489335,11/25/24,HP08799-0003,Modern Cars,,1,1,76.45,,9
Delta Dealer,AP1489335,11/25/24,HP80315-TLA-A01,Modern Cars,,1,1,45.49,,3
Delta Dealer,AP1489444,11/25/24,HP35111-SVA-305,Modern Cars,,1,1,63.24,,12
Delta Dealer,AP1490486,12/02/24,PK23-047-1,,,1,1,0.00,,0
Delta Dealer,AP1490486,12/02/24,HP39165-THR-AA0,Modern Cars,,2,2,7.02,,1
Delta Dealer,AP1490486,12/02/24,HP39165-THR-AB0,Modern Cars,,2,2,7.02,,1
Delta Dealer,AP1490486,12/02/24,HP39165-THR-AC0,Modern Cars,,2,2,7.02,,1
Delta Dealer,AP1490486,12/02/24,HP39817-THR-305,Modern Cars,,12,12,15.96,,10
Delta Dealer,AP1490896,12/04/24,HP06170-TVA-306,Modern Cars,,1,1,34.18,,6
Delta Dealer,AP1491729,12/07/24,HP42751-FIR-017,Modern Cars,,2,2,364.60,,11
Delta Dealer,AP1493531,12/16/24,HP100164,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1493531,12/16/24,HP08798-9134,Modern Cars,,7,7,27.09,,9
Delta Dealer,AP1494277,12/19/24,,,,,,0.00,,
Delta Dealer,AP1495347,12/27/24,HP35118-T2A-A20,Modern Cars,,1,1,36.96,,12
Delta Dealer,AP1496012,12/31/24,HP32109-T6Z-305,Modern Cars,,1,1,10.00,,6
Delta Dealer,AP1496311,01/02/25,HP1358,Modern Cars,,1,1,11.99,,22
Delta Dealer,AP1496311,01/02/25,HPWASHER,Modern Cars,,1,1,1.56,,39
Delta Dealer,AP1496311,01/02/25,HPSAE020,Modern Cars,,5,5,13.95,,18
Delta Dealer,AP1496433,01/02/25,HP994930,Modern Cars,,1,1,129.13,,6
Delta Dealer,AP1496591,01/03/25,HP35118-TA0-A04,Modern Cars,,1,1,51.69,,12
Delta Dealer,AP1497266,01/07/25,HP06170-TVA-306,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1497543,01/24/25,HP06170-TZ5-305,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1498121,01/13/25,,,,,,0.00,,
Delta Dealer,AP1498290,01/14/25,HP1334,Modern Cars,,1,1,7.99,,22
Delta Dealer,AP1498290,01/14/25,HPWASHER,Modern Cars,,1,1,1.56,,39
Delta Dealer,AP1498290,01/14/25,HPSAE1,Modern Cars,,5,5,13.95,,18
Delta Dealer,AP1498936,01/16/25,HP76253-THR-A12,Modern Cars,,1,1,11.00,,2
Delta Dealer,AP1498936,01/16/25,HP76203-THR-A11,Modern Cars,,1,1,11.00,,2
Delta Dealer,AP1498936,01/16/25,PK23-046,,,1,1,0.00,,0
Delta Dealer,AP1498936,01/16/25,HP39165-THR-AA0,Modern Cars,,3,3,10.53,,1
Delta Dealer,AP1498936,01/16/25,HP39165-THR-AB0,Modern Cars,,3,3,10.53,,1
Delta Dealer,AP1498936,01/16/25,HP39165-THR-AC0,Modern Cars,,1,1,3.51,,1
Delta Dealer,AP1498936,01/16/25,HP39817-THR-305,Modern Cars,,14,14,18.62,,10
Delta Dealer,AP1499056,01/16/25,HP78100-T5R-A92,Modern Cars,,1,1,634.84,,6
Delta Dealer,AP1499058,01/16/25,HP35118-TR0-A00,Modern Cars,,1,1,42.37,,12
Delta Dealer,AP1499171,01/21/25,HP06170-TVA-306,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1499448,01/24/25,HP06170-TZ5-305,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1499537,01/20/25,HP06170-TBA-306,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1500294,01/23/25,HP33150-T3L-A62,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1500512,02/05/25,HP06170-T7L-305,Modern Cars,,0,1,0.00,,6
Delta Dealer,AP1501238,01/28/25,,,,,,0.00,,
Delta Dealer,AP1501891,01/31/25,HP75332-3A0-A01,Modern Cars,,1,1,86.06,,5
Delta Dealer,AP1502289,02/03/25,HP35118-TE0-A10,Modern Cars,,1,1,56.12,,12
Delta Dealer,AP1502850,02/05/25,HP08U97-3A0-120B,Modern Cars,,0,1,0.00,,7
Delta Dealer,AP1502988,02/06/25,HP42751-GYR-054,Modern Cars,,1,1,165.10,,11
