SYS.STBR-NAME,PART#,RICHARD ROBINSON,DESC,Best Parts Inc,ROBERT THOMAS,QOH,STAT,MARK GREEN,LAST-RECV-DATE,SRC,BIN1,BIN2,Central Supply,LIST,SARAH BROWN,Great Supply Inc,GRP,ASSORTMENT-CLASS,STAT,Central Supply,THOMAS LEE,MIKE JOHNSON,NANCY ALLEN
Delta Dealer,HP04813-TG7-A30ZA,City Cars,BUCKLE SET *NH900L*,58.48,0.00,1,AP,09/23/24,08/14/24,6,121,,58.48,97.47,,,81455,,AP,0,1,0.00,121
Delta Dealer,HP04813-TK6-A01ZA,City Cars,BUCKLE SET *NH167L*,126.32,0.00,1,NS,04/08/25,04/04/25,6,106,,126.32,210.53,HP04813-TK6-A00ZA,,81455,,NS,0,1,0.00,106
Delta Dealer,HP04816-TG7-A30ZB,City Cars,BUCKLE SET *NH900L*,58.49,0.00,1,AP,09/23/24,08/14/24,6,121,,58.49,97.48,,,81455,,AP,0,1,0.00,121
Delta Dealer,HP04816-TLA-A30ZA,City Cars,BUCKLE SET *YR449L*,66.91,0.00,1,AP,,,6,103,,66.91,111.52,,,81455,,AP,0,1,0.00,103
Delta Dealer,HP04816-TR3-A10ZD,City Cars,BUCKLE SET *NH167L*,72.47,0.00,2,AP,01/12/24,05/21/24,6,103,,72.47,120.78,,,81455,,AP,0,1,0.00,103
Delta Dealer,HP04816-TVA-A30ZA,City Cars,BUCKLE SET *NH900L*,57.45,0.00,1,AP,03/10/25,10/23/24,6,SPORD,,57.45,95.75,,,81455,,AP,0,1,0.00,SPORD
Delta Dealer,HP04818-3A0-A00ZB,City Cars,"OTR ST, L. *NH882L*",205.81,0.00,1,NS,,06/14/25,6,SPORD,,205.81,343.02,,,81400,,NS,0,1,0.00,SPORD
Delta Dealer,HP04818-SNA-A01ZA,City Cars,TONGUE SET *NH598L*,458.15,0.00,1,AP,,11/20/24,6,532,,458.15,763.58,HP04818-SNA-A00ZA,,81400,,AP,0,1,0.00,532
Delta Dealer,HP04818-T2F-A00ZH,City Cars,"OTR ST, L. (TYPEZ)",296.22,0.00,1,AP,,11/06/24,6,102,,296.22,493.70,,,81400,,AP,0,1,0.00,102
Delta Dealer,HP04818-TR3-A30ZA,City Cars,"OTR ST, L. *NH167L*",252.88,0.00,1,AP,02/13/25,02/14/25,6,102,,252.88,421.47,,,81400,,AP,0,1,0.00,102
Delta Dealer,HP04824-T39-A00ZA,City Cars,"OTR ST, R. *NH900L*",129.56,0.00,1,NS,04/22/25,03/28/25,6,102,,129.56,215.93,,,82480,,NS,0,1,0.00,102
Delta Dealer,HP04826-TBA-A01ZA,City Cars,BUCKLE SET *NH900L*,66.25,0.00,1,AP,01/09/24,01/09/24,6,102,,66.25,110.42,HP04826-TBA-A00ZA,,82480,,AP,0,1,0.00,102
Delta Dealer,HP04863-T90-A01ZA,City Cars,BUCKLE SET R*NH900L*,47.25,0.00,1,,06/12/25,06/12/25,6,134,,47.25,78.75,HP04863-T90-A00ZA,,81600,,,0,1,0.00,134
Delta Dealer,HP04864-T90-A00ZA,City Cars,"OTR ST, R. *NH900L*",116.40,0.00,1,NS,06/10/25,06/10/25,6,SPORD,,116.40,194.00,,,81600,,NS,0,1,0.00,SPORD
Delta Dealer,HP04945-T5R-A00,City Cars,Best Parts Inc,66.08,0.00,2,,06/13/25,05/15/25,6,144,,66.08,110.14,,,06999,,,0,1,0.00,144
Delta Dealer,HP04945-TBA-A00,City Cars,Best Parts Inc,33.23,0.00,3,,06/10/25,06/13/25,6,144,,33.23,55.39,,,06999,,,0,1,0.00,144
Delta Dealer,HP06011-5J2-305,City Cars,Elite Components,7.65,0.00,3,AP,01/15/25,01/16/25,6,198F,,7.65,12.75,,,13210,,AP,0,1,0.00,198F
Delta Dealer,HP06012-5J2-305,City Cars,Best Parts Inc,3.53,0.00,1,,05/14/25,05/15/25,6,198F,,3.53,5.88,,,13210,,,0,1,0.00,198F
Delta Dealer,HP06110-5PA-A01,City Cars,"GASKET KIT, CYL HD",269.78,0.00,2,AP,06/04/25,06/04/25,6,SPORD,,269.78,449.63,HP06110-5PA-A00,,06110,,AP,0,1,0.00,SPORD
Delta Dealer,HP06110-6A0-A01,City Cars,"GASKET KIT, CYL HD",238.30,0.00,1,,06/10/25,05/09/25,4,560B,,238.30,397.17,,,06110,,,0,1,0.00,560B
Delta Dealer,HP06110-RGL-A03,City Cars,"GASKET KIT, FR.",199.57,0.00,1,AP,,11/29/24,6,540,,199.57,332.62,Noble Motors,,06110,,AP,0,1,0.00,540
Delta Dealer,HP06120-RLV-000,City Cars,"GASKET KIT, RR.",199.57,0.00,1,AP,10/03/23,11/15/23,6,501A,,199.57,332.62,,,06110,,AP,0,1,0.00,501A
Delta Dealer,HP06160-5PA-305,City Cars,"INJECTOR KIT, FUEL",433.76,0.00,2,,06/11/25,06/12/25,1,122,,433.76,722.93,,,06160,,,0,1,0.00,122
Delta Dealer,HP06160-5R1-000,City Cars,"INJECTOR KIT, FUEL",245.00,0.00,2,,03/17/25,03/18/25,5,121,,245.00,408.33,,,06999,,,0,1,0.00,121
Delta Dealer,HP06160-64A-305,City Cars,"INJECTOR KIT, FUEL",312.17,0.00,1,NS,05/13/25,05/08/25,6,SPORD,,312.17,520.28,,,16450,,NS,0,1,0.00,SPORD
Delta Dealer,HP06160-RLV-305,City Cars,"INJECTOR KIT, FUEL",225.00,0.00,2,,06/16/25,06/10/25,1,121,,225.00,375.00,,,06999,,,0,1,0.00,121
Delta Dealer,HP06161-5LA-305,City Cars,ELIZABETH CLARK,497.08,0.00,1,,05/07/25,05/08/25,5,105,,497.08,828.47,,,16700,,,0,1,0.00,105
Delta Dealer,HP06161-RLV-305,City Cars,ELIZABETH CLARK,422.11,0.00,1,,05/08/25,05/10/25,4,105,,422.11,703.52,,,16700,,,0,1,0.00,105
Delta Dealer,HP06170-T7L-305,City Cars,"KIT, F/PUMP",41.55,0.00,3,,05/29/25,06/07/25,6,162,,41.55,69.25,,,06999,,,0,1,0.00,162
Delta Dealer,HP06170-TBA-306,City Cars,"KIT, FUEL PUMP",33.65,0.00,11,,06/16/25,06/14/25,6,162,,33.65,56.09,,,16700,,,0,1,0.00,162
Delta Dealer,HP06170-TBF-306,City Cars,"KIT, FUEL PUMP",24.77,0.00,1,,05/24/25,06/10/25,6,162,,24.77,41.28,,,06999,,,0,1,0.00,162
Delta Dealer,HP06170-TED-306,City Cars,Smart Parts Inc,72.90,0.00,3,,06/09/25,06/10/25,6,162,,72.90,121.50,,,16700,,,0,1,0.00,162
Delta Dealer,HP06170-TG7-305,City Cars,"KIT, FUEL PUMP",44.62,0.00,1,,06/12/25,06/11/25,6,162,,44.62,74.36,,,06999,,,0,1,0.00,162
Delta Dealer,HP06170-TGH-316,City Cars,"KIT, F/PUMP",29.99,0.00,2,AP,12/18/24,03/05/25,6,162,,29.99,49.98,,,06999,,AP,0,1,0.00,162
Delta Dealer,HP06170-THR-306,City Cars,"KIT, FUEL PUMP",34.41,0.00,1,,06/16/25,06/11/25,6,162,,34.41,57.35,,,06999,,,0,1,0.00,162
Delta Dealer,HP06170-TLA-306,City Cars,"KIT, FUEL PUMP",34.18,0.00,16,,06/16/25,06/14/25,6,162,,34.18,56.97,,,06999,,,0,1,0.00,162
Delta Dealer,HP06170-TRN-305,City Cars,"KIT, F/PUMP",35.68,0.00,1,,05/13/25,05/13/25,6,162,,35.68,59.47,,,06999,,,0,1,0.00,162
Delta Dealer,HP06170-TRW-305,City Cars,Smart Parts Inc,68.62,0.00,1,,03/04/25,04/08/25,6,162,,68.62,114.37,,,16700,,,0,1,0.00,162
Delta Dealer,HP06170-TVA-306,City Cars,"KIT, FUEL PUMP",34.18,0.00,4,,06/14/25,06/10/25,6,162,,34.18,56.97,,,06999,,,0,1,0.00,162
Delta Dealer,HP06170-TVC-306,City Cars,"KIT, FUEL PUMP",28.39,0.00,2,,06/07/25,06/07/25,6,162,,28.39,47.31,,,16700,,,0,1,0.00,162
Delta Dealer,HP06170-TZ5-305,City Cars,"KIT, FUEL PUMP",34.11,0.00,4,,06/13/25,06/12/25,6,162,,34.11,56.86,,,06999,,,0,1,0.00,162
Delta Dealer,HP06192-R1A-305,City Cars,PATRICIA HARRIS,155.93,0.00,1,,05/28/25,05/28/25,8,192,,155.93,259.88,HP06194-RNA-305,,19200,,,0,1,0.00,192
Delta Dealer,HP06193-59B-306,City Cars,DAVID WILSON,43.14,0.00,1,AP,01/29/25,12/03/24,6,SPORD,,43.14,71.90,,,19300,,AP,0,1,0.00,SPORD
Delta Dealer,HP06237-5J4-010,City Cars,"PLUG, SCREW (ATF)",22.57,0.00,3,,05/21/25,05/22/25,4,106,,22.57,37.62,HP06237-5J4-000,0,90800,,,0,1,0.00,106
Delta Dealer,HP06311-R40-505RM,City Cars,PAUL NELSON,303.59,75.00,1,,05/07/25,05/08/25,5,104,,303.59,505.99,,0,311RM,,,0,1,0.00,104
Delta Dealer,HP06311-R70-505RM,City Cars,ALTNTR(104210-5910),328.32,75.00,1,,04/28/25,04/29/25,5,104,,328.32,547.20,,0,311RM,,,0,1,0.00,104
Delta Dealer,HP06311-R70-506RM,City Cars,"ALTERNATOR, RM",344.45,75.00,1,,06/05/25,06/06/25,5,104,,344.45,574.08,,0,311RM,,,0,1,0.00,104
Delta Dealer,HP06311-RGW-505RM,City Cars,ALTNTR(104210-5920),340.94,75.00,1,,06/13/25,06/14/25,5,104,,340.94,568.24,,1,311RM,,,0,1,75.00,104
Delta Dealer,HP06311-RJA-505RM,City Cars,ALTERNATOR ASSY.,303.22,75.00,1,AP,07/03/24,07/05/24,8,104,,303.22,505.37,,0,311RM,,AP,0,1,0.00,104
Delta Dealer,HP06311-RTA-505RM,City Cars,"ALTERNATOR, REMAN",262.12,75.00,1,,06/13/25,06/14/25,5,104,,262.12,436.86,HP31100-RTA-033RM,2,311RM,,,0,1,150.00,104
Delta Dealer,HP06311-RV0-515RM,City Cars,ALTERNATOR,369.75,225.00,3,,06/12/25,06/14/25,3,104,,369.75,616.25,,1,311RM,,,0,1,75.00,104
Delta Dealer,HP06311-RX0-505RM,City Cars,ALTERNATOR,370.27,75.00,1,,05/15/25,04/11/25,8,104,,370.27,617.12,,0,311RM,,,0,1,0.00,104
Delta Dealer,HP06311-RYP-505RM,City Cars,ALTERNATOR ASSY.,303.60,75.00,1,AP,01/09/25,05/08/25,6,104,,303.60,506.00,HP31100-RYP-A01RM,0,311RM,,AP,0,1,0.00,104
Delta Dealer,HP06312-5A2-506RM,City Cars,STARTER (SM-74009),293.91,225.00,3,,06/10/25,06/11/25,3,120,,293.91,489.85,HP31200-5A2-A52RM,3,312RM,,,0,1,225.00,120
Delta Dealer,HP06312-5G0-505RM,City Cars,STARTER (SM-74011),293.05,75.00,1,,06/11/25,03/06/25,5,120,,293.05,488.42,HP31200-5G0-A04RM,1,312RM,,,0,1,75.00,120
Delta Dealer,HP06312-R1A-505RM,City Cars,STARTER (SM-74014),307.48,75.00,1,,05/13/25,05/14/25,5,120,,307.48,512.47,HP31200-R1A-A12RM,0,312RM,,,0,1,0.00,120
Delta Dealer,HP06312-R70-505RM,City Cars,Fast Parts Co,296.28,75.00,1,,06/09/25,06/10/25,8,120,,296.28,493.80,,1,312RM,,,0,1,75.00,120
Delta Dealer,HP06312-RAA-507RM,City Cars,STARTER (SM-71005),313.30,75.00,1,,05/23/25,05/28/25,5,120,,313.30,522.17,HP31200-RAA-A61RM,0,312RM,,,0,1,0.00,120
Delta Dealer,HP06312-RKB-515RM,City Cars,"STARTER,REMAN",335.99,75.00,1,,10/26/24,10/29/24,8,110,,335.99,559.99,,0,312RM,,,0,1,0.00,110
Delta Dealer,HP06312-RZA-505RM,City Cars,STARTER,321.39,75.00,1,,04/25/25,04/26/25,8,120,,321.39,535.65,,0,312RM,,,0,1,0.00,120
Delta Dealer,HP06351-S84-000,City Cars,"KIT, LEVER (A)",2.34,0.00,4,AP,09/25/24,09/25/24,6,191C,,2.34,3.91,,,06999,,AP,0,5,0.00,191C
Delta Dealer,HP06357-S9A-509,City Cars,"KIT, SW ASSY, P/W M",52.46,0.00,2,AP,05/24/24,05/25/24,8,191,,52.46,87.43,,,06999,,AP,0,1,0.00,191
Delta Dealer,HP06421-S3V-A04,City Cars,"SENSOR ASSY., TPMS",40.45,0.00,1,,11/06/24,11/08/24,8,190B,,40.45,67.42,,,42755,,,0,1,0.00,190B
Delta Dealer,HP06440-T2A-305,City Cars,"KIT, DRIVE SHAFT AS",276.36,0.00,1,,02/04/25,02/05/25,5,554C,,276.36,460.61,,,06999,,,0,1,0.00,554C
Delta Dealer,HP06440-T2A-306,City Cars,"HDW KIT, D/S ASSY.",7.72,0.00,2,,02/04/25,02/05/25,5,554C,,7.72,12.87,,,06999,,,0,1,0.00,554C
Delta Dealer,HP06512-T2A-315,City Cars,"BOOT KIT, FR. ARM",28.51,0.00,7,,06/14/25,06/10/25,2,200H,,28.51,47.52,,,91580,,,0,1,0.00,200H
Delta Dealer,HP06513-S0X-A00,City Cars,"STABILIZER SET, FR.",56.66,0.00,1,,03/18/25,03/19/25,8,106,,56.66,94.43,HP51320-S0X-A01,0,51220,,,0,1,0.00,106
Delta Dealer,HP06530-T20-305,City Cars,"KIT,G/BOX ASSY ST",5.01,0.00,4,,04/23/25,10/09/24,6,201B,,5.01,8.35,,,06999,,,0,1,0.00,201B
Delta Dealer,HP06531-T20-305,City Cars,"KIT, G/BOX ASSY STRG",5.56,0.00,192,,06/16/25,06/05/25,1,161,,5.56,9.26,,,06999,,,0,1,0.00,161
Delta Dealer,HP06536-S5A-505RM,City Cars,P/S RACK (S5F) (Y0),374.85,200.00,1,AP,,09/10/24,6,559C,,374.85,624.75,HP53600-S5A-Y02RM,,536RM,,AP,0,1,0.00,559C
Delta Dealer,HP06561-R70-505RM,City Cars,"PUMP, POWER STEERING",268.65,125.00,1,,06/04/25,01/03/25,8,152,,268.65,447.75,HP56100-R70-A12RM,0,561RM,,,0,1,0.00,152
Delta Dealer,HP06561-RN0-316RM,City Cars,"PUMP SUB-ASSY., P.S.",365.53,125.00,1,AP,07/12/24,07/12/24,6,152,,365.53,609.22,,,561RM,,AP,0,1,0.00,152
Delta Dealer,HP06601-TG7-305,City Cars,LISA ADAMS,5.50,0.00,5,,12/26/24,12/01/21,8,197F,,5.50,9.17,,,06999,,,0,1,0.00,197F
Delta Dealer,HP06720-THR-308,City Cars,"KIT, SL DR RR LATCH",160.00,0.00,1,AP,05/21/24,01/14/25,6,174,,160.00,266.67,,,06999,,AP,0,1,0.00,174
Delta Dealer,HP06721-THR-308,City Cars,"KIT,SL DR O/H CABLE",12.07,0.00,3,,03/13/25,03/07/25,5,190,,12.07,20.11,,,06999,,,0,1,0.00,190
Delta Dealer,HP06730-SWA-325,City Cars,"KIT,TRG ARM HOLDER",65.00,0.00,1,,05/14/25,05/13/25,6,553D,,65.00,108.33,,,06999,,,0,1,0.00,553D
Delta Dealer,HP06732-3W0-305,City Cars,"KIT, RR WSHLD P(2WD)",136.11,0.00,1,,06/06/25,06/03/25,6,SPORD,,136.11,226.85,"HP06732-3W0-306
HP06732-3W0-316",,06999,,,0,1,0.00,SPORD
Delta Dealer,HP06732-3W1-315,City Cars,"KIT, RR. WSHLD",136.36,0.00,1,NS,05/16/25,05/16/25,6,501A,,136.36,227.27,,,73200,,NS,0,1,0.00,501A
Delta Dealer,HP06740-T1W-315,City Cars,"KIT,RAD MT LWR CUSH",20.03,0.00,2,AP,09/25/24,10/19/23,8,190B,,20.03,33.38,,0,91550,,AP,0,1,0.00,190B
Delta Dealer,HP07AAC-001A101,City Cars,PUSH PIN/CAP PLIERS,18.10,0.00,1,NS,06/13/25,06/06/25,6,SPORD,,18.10,27.85,HP07AAC-001A100,,07999,,NS,0,1,0.00,SPORD
Delta Dealer,HP07AAK-5R7A110,City Cars,"MEDIA,CARBON CLEANER",14.23,0.00,7,,06/16/25,05/24/24,6,184,,14.23,65.00,,,07999,,,0,1,0.00,184
Delta Dealer,HP08200-9003,City Cars,FLUID (VTM-4),23.10,0.00,7,,06/09/25,03/14/25,9,302,,23.10,38.50,,,08200,,,0,6,0.00,302
Delta Dealer,HP08200-9006,City Cars,"FLUID, CVT",5.76,0.00,26,,06/11/25,06/12/25,9,304,,5.76,9.60,,,08201,,,0,12,0.00,304
Delta Dealer,HP08200-9007,City Cars,"FLUID, DPF II",6.34,0.00,95,,06/16/25,05/30/25,9,302,,6.34,10.57,,0,08200,,,0,12,0.00,302
Delta Dealer,HP08200-9008,City Cars,FLUID (ATF DW-1),6.07,0.00,550,,06/16/25,05/21/25,9,320,,6.07,10.12,HP08206-9001,0,08201,,,0,12,0.00,320
Delta Dealer,HP08200-9014,City Cars,FLUID (HGO-1),12.87,0.00,10,,06/16/25,06/06/25,9,307,,12.87,21.44,,,08200,,,0,12,0.00,307
Delta Dealer,HP08200-9015,City Cars,ATF-TYPE 2.0,7.90,0.00,139,,06/16/25,06/06/25,9,309,,7.90,13.17,,,08201,,,0,12,0.00,309
Delta Dealer,HP08200-9017,City Cars,ATF-TYPE 3.1,18.32,0.00,224,,06/16/25,06/06/25,9,307,,18.32,30.53,HP08200-9017A,,08201,,,0,12,0.00,307
Delta Dealer,HP08200-9022,City Cars,HEVF-TYPE 1.0,8.30,0.00,31,,06/16/25,06/03/25,9,307,,8.30,13.84,,,08201,,,0,12,0.00,307
Delta Dealer,HP08200-HCF2,City Cars,FLUID (HCF-2),8.27,0.00,767,,06/16/25,06/06/25,9,320,,8.27,13.78,,,08201,,,0,12,0.00,320
Delta Dealer,HP08285-P99-0CZA3,City Cars,"FLUID, P.S.",5.47,0.00,185,,06/12/25,05/21/25,9,302,,5.47,10.94,HP08206-9002,,R2999,,,0,12,0.00,302
Delta Dealer,HP08700-AGCA,City Cars,ANDREW MITCHELL,3.55,0.00,26,,06/13/25,06/11/25,9,106,,3.55,5.92,HP08700-9217,0,08700,,,0,12,0.00,106
Delta Dealer,HP08700-SCPA,City Cars,ROBERT THOMAS,5.05,0.00,3,,03/21/25,06/24/24,9,106,,5.05,8.42,,,08700,,,0,12,0.00,106
Delta Dealer,HP08700-SS1A,City Cars,ROBERT THOMAS,3.63,0.00,10,,06/13/25,06/10/25,9,106,,3.63,6.05,,0,08700,,,0,12,0.00,106
Delta Dealer,HP08700-TPCB,City Cars,RUTH CARTER,3.27,0.00,13,,05/10/25,05/06/25,9,106,,3.27,5.45,,0,08700,,,0,12,0.00,106
Delta Dealer,HP08703-B575PAH-A1,City Cars,PAINT *B575P*,10.74,0.00,1,,03/17/25,03/18/25,12,193B,,10.74,17.89,HP08703-B575PAH-PN,,S8704,,,0,1,0.00,193B
Delta Dealer,HP08703-B588P-ES,City Cars,PAINT *B588P*,11.87,0.00,3,,05/30/25,06/03/25,12,194B,,11.87,19.78,,,S8704,,,0,1,0.00,194B
Delta Dealer,HP08703-B640MAH-A1,City Cars,PAINT *B640M*,10.74,0.00,1,,04/03/25,04/05/25,12,194E,,10.74,17.89,,,S8704,,,0,1,0.00,194E
